"Sample","Group3","LAMP2","STAG2","LAMP2_log2FC","LAMP2_foldchange","STAG2_log2FC","STAG2_foldchange","LAMP2_pval","STAG2_pval"
"GSM363110","Control",7.2955,5.932,-1.06418863636364,0.478241543554192,-0.830840909090909,0.562201454345525,2.54e-06,2.43e-11
"GSM363111","Control",7.962,6.607,-0.397688636363636,0.759073432665743,-0.155840909090909,0.897609027622789,2.54e-06,2.43e-11
"GSM363112","Control",8.739,6.264,0.379311363636365,1.30072083890449,-0.498840909090909,0.707675113612293,2.54e-06,2.43e-11
"GSM363113","Control",8.628,7.522,0.268311363636364,1.20439728720201,0.759159090909091,1.69250382108675,2.54e-06,2.43e-11
"GSM363114","Control",8.274,6.731,-0.0856886363636349,0.94233462739835,-0.0318409090909091,0.978171333793685,2.54e-06,2.43e-11
"GSM363116","Control",8.4315,7.128,0.071811363636364,1.05103547431,0.365159090909091,1.2880236564461,2.54e-06,2.43e-11
"GSM363117","Control",8.4715,7.126,0.111811363636363,1.08058410344413,0.363159090909091,1.28623931361214,2.54e-06,2.43e-11
"GSM363118","Control",8.846,7.155,0.486311363636364,1.40085862273053,0.392159090909091,1.31235596458701,2.54e-06,2.43e-11
"GSM363119","Control",8.6225,7.156,0.262811363636365,1.1998144930558,0.393159090909091,1.3132659357593,2.54e-06,2.43e-11
"GSM363120","Control",8.514,7.081,0.154311363636364,1.11289027956838,0.318159090909091,1.2467386688258,2.54e-06,2.43e-11
"GSM363131","Control",8.428,6.827,0.068311363636365,1.04848873680604,0.064159090909091,1.04547538198955,2.54e-06,2.43e-11
"GSM363132","Control",8.5475,6.952,0.187811363636364,1.13903443558477,0.189159090909091,1.14009898837077,2.54e-06,2.43e-11
"GSM363133","Control",8.2355,7.45,-0.124188636363636,0.917519906204533,0.687159090909091,1.61010981776123,2.54e-06,2.43e-11
"GSM363134","Control",8.0005,6.695,-0.359188636363635,0.779602900713094,-0.0678409090909087,0.954064752725449,2.54e-06,2.43e-11
"GSM363135","Control",8.8115,6.869,0.451811363636365,1.36775645427387,0.106159090909091,1.07635881200172,2.54e-06,2.43e-11
"GSM363136","Control",8.2115,7.012,-0.148188636363635,0.902382730712528,0.249159090909091,1.18851415934613,2.54e-06,2.43e-11
"GSM363137","Control",8.5565,6.845,0.196811363636364,1.14616231204055,0.0821590909090908,1.05860112400012,2.54e-06,2.43e-11
"GSM363138","Control",8.4375,7.199,0.0778113636363642,1.05541571009488,0.436159090909091,1.35299742247058,2.54e-06,2.43e-11
"GSM363139","Control",8.687,7.307,0.327311363636364,1.25467295985803,0.544159090909091,1.4581701673552,2.54e-06,2.43e-11
"GSM363140","Control",8.229,7.264,-0.130688636363635,0.913395358482519,0.501159090909091,1.41535022722459,2.54e-06,2.43e-11
"GSM363141","Control",8.6865,6.834,0.326811363636363,1.25423819868842,0.0711590909090907,1.05056038650504,2.54e-06,2.43e-11
"GSM363153","Control",9.1205,7.343,0.760811363636364,1.69444330226272,0.580159090909091,1.49501409985582,2.54e-06,2.43e-11
